0,365,26,9,100
1,380,14,14,92
2,381,19,9,91
3,379,19,9,93
4,357,24,9,110
5,377,14,15,94
6,393,13,15,79
7,398,18,15,69
8,378,15,16,91
9,387,15,20,78
10,397,18,18,67
11,388,21,17,74
12,382,9,23,86
13,401,11,20,68
14,389,14,33,64
15,369,14,41,76
16,383,14,38,65
17,399,11,33,57
18,392,6,48,54
19,370,14,44,72
20,368,14,58,60
21,394,12,41,53
22,395,9,49,47
23,406,8,51,35
24,398,7,56,39
25,407,4,58,31
26,412,4,64,20
27,398,4,75,23
28,388,3,88,21
29,387,1,89,23
30,391,1,94,14
31,409,1,81,9
32,390,0,102,8
33,393,1,99,7
34,411,2,84,3
35,411,1,83,5
36,381,3,112,4
37,405,1,90,4
38,395,3,90,12
39,404,3,87,6
40,393,5,95,7
41,397,5,88,10
42,383,7,103,7
43,376,8,111,5
44,386,7,100,7
45,391,11,94,4
46,392,6,98,4
47,394,11,85,10
48,391,13,83,13
49,379,13,97,11
50,386,17,89,8
51,379,22,95,4
52,374,16,101,9
53,389,20,87,4
54,374,23,99,4
55,386,33,77,4
56,369,25,95,11
57,361,37,97,5
58,382,33,73,12
59,356,38,99,7
60,362,36,94,8
61,374,42,78,6
62,364,46,84,6
63,348,53,94,5
64,374,34,85,7
65,368,40,89,3
66,340,47,102,11
67,353,38,102,7
68,349,43,101,7
69,357,44,93,6
70,362,31,96,11
71,375,36,82,7
72,366,35,89,10
73,358,45,91,6
74,348,57,89,6
75,369,39,85,7
76,361,39,94,6
77,366,46,83,5
78,328,63,101,8
79,367,44,81,8
80,312,59,123,6
81,343,63,85,9
82,331,69,98,2
83,330,62,102,6
84,329,71,94,6
85,327,82,85,6
86,315,65,110,10
87,311,68,116,5
88,328,80,89,3
89,324,78,92,6
90,336,80,81,3
91,315,87,94,4
92,295,89,108,8
93,306,95,96,3
94,313,94,91,2
95,283,117,97,3
96,294,115,90,1
97,283,98,115,4
98,290,120,89,1
99,286,101,109,4
100,273,137,87,3
101,262,124,111,3
102,287,114,97,2
103,270,111,119,0
104,292,115,90,3
105,284,119,97,0
106,290,110,96,4
107,271,109,114,6
108,298,99,100,3
109,282,118,97,3
110,302,108,88,2
111,292,114,92,2
112,289,118,90,3
113,306,89,103,2
114,287,98,114,1
115,294,101,98,7
116,318,91,87,4
117,283,109,101,7
118,318,101,77,4
119,306,91,99,4
120,309,93,95,3
121,334,76,83,7
122,315,88,90,7
123,298,91,105,6
124,335,75,84,6
125,329,70,95,6
126,333,68,95,4
127,322,87,88,3
128,341,73,79,7
129,341,69,88,2
130,330,74,88,8
131,342,63,90,5
132,357,58,79,6
133,334,65,91,10
134,337,70,80,13
135,338,60,94,8
136,346,55,92,7
137,330,61,105,4
138,336,61,93,10
139,356,46,88,10
140,340,59,95,6
141,323,67,100,10
142,334,71,87,8
143,336,68,85,11
144,350,55,85,10
145,332,65,90,13
146,339,59,90,12
147,326,58,101,15
148,323,71,92,14
149,354,49,81,16
150,329,59,88,24
151,349,65,65,21
152,342,54,86,18
153,342,63,78,17
154,330,57,96,17
155,340,62,81,17
156,331,60,88,21
157,353,55,74,18
158,326,56,89,29
159,344,75,57,24
160,339,64,69,28
161,327,65,78,30
162,331,85,59,25
163,319,75,75,31
164,325,70,73,32
165,340,69,61,30
166,320,76,64,40
167,332,77,54,37
168,331,59,67,43
169,326,70,61,43
170,326,65,75,34
171,331,65,67,37
172,334,58,67,41
173,344,66,53,37
174,340,71,50,39
175,337,61,70,32
176,337,67,61,35
177,355,56,68,21
178,346,60,64,30
179,341,53,76,30
180,351,58,67,24
181,344,57,72,27
182,338,56,75,31
183,337,53,79,31
184,340,61,69,30
185,348,50,71,31
186,349,46,78,27
187,348,48,73,31
188,339,48,88,25
189,321,58,99,22
190,363,39,77,21
191,368,36,72,24
192,371,36,75,18
193,362,35,85,18
194,337,47,92,24
195,364,35,77,24
196,376,29,85,10
197,371,28,90,11
198,369,22,101,8
